Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for windows-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 06:31:49 by "" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33485708k(21575624k free), swap 35582860k(13904620k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-01-22T21:47:08.454+0800: 0.459: [GC (Allocation Failure) [PSYoungGen: 131584K->7701K(153088K)] 131584K->7717K(502784K), 0.0043680 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:08.656+0800: 0.660: [GC (Allocation Failure) [PSYoungGen: 139285K->11429K(153088K)] 139301K->11453K(502784K), 0.0059446 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-01-22T21:47:08.666+0800: 0.670: [GC (Metadata GC Threshold) [PSYoungGen: 15794K->8709K(153088K)] 15818K->8741K(502784K), 0.0028759 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:08.668+0800: 0.673: [Full GC (Metadata GC Threshold) [PSYoungGen: 8709K->0K(153088K)] [ParOldGen: 32K->8263K(349696K)] 8741K->8263K(502784K), [Metaspace: 20428K->20428K(1067008K)], 0.0136315 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2021-01-22T21:47:08.971+0800: 0.975: [GC (Allocation Failure) [PSYoungGen: 131584K->6898K(153088K)] 139847K->15234K(502784K), 0.0025695 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:09.579+0800: 1.584: [GC (Allocation Failure) [PSYoungGen: 138482K->13133K(153088K)] 146818K->21476K(502784K), 0.0048949 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-01-22T21:47:09.850+0800: 1.855: [GC (Allocation Failure) [PSYoungGen: 144717K->14967K(153088K)] 153060K->23318K(502784K), 0.0095855 secs] [Times: user=0.20 sys=0.02, real=0.01 secs] 
2021-01-22T21:47:09.940+0800: 1.945: [GC (Metadata GC Threshold) [PSYoungGen: 42367K->14488K(153088K)] 50718K->22847K(502784K), 0.0043496 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:09.944+0800: 1.950: [Full GC (Metadata GC Threshold) [PSYoungGen: 14488K->0K(153088K)] [ParOldGen: 8359K->18259K(349696K)] 22847K->18259K(502784K), [Metaspace: 33875K->33875K(1079296K)], 0.0569300 secs] [Times: user=0.38 sys=0.00, real=0.06 secs] 
2021-01-22T21:47:15.026+0800: 7.031: [GC (Allocation Failure) [PSYoungGen: 131584K->5221K(153088K)] 149843K->23488K(502784K), 0.0023583 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:16.012+0800: 8.017: [GC (Allocation Failure) [PSYoungGen: 136805K->4592K(153088K)] 155072K->22868K(502784K), 0.0024369 secs] [Times: user=0.16 sys=0.02, real=0.00 secs] 
2021-01-22T21:47:16.592+0800: 8.597: [GC (Allocation Failure) [PSYoungGen: 136176K->4496K(153088K)] 154452K->22780K(502784K), 0.0020485 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:17.108+0800: 9.112: [GC (Allocation Failure) [PSYoungGen: 136080K->4528K(153088K)] 154364K->22812K(502784K), 0.0021269 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:17.629+0800: 9.634: [GC (Allocation Failure) [PSYoungGen: 136112K->4576K(153088K)] 154396K->22868K(502784K), 0.0019249 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:18.227+0800: 10.232: [GC (Allocation Failure) [PSYoungGen: 136160K->4576K(153088K)] 154452K->22876K(502784K), 0.0026001 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:18.733+0800: 10.738: [GC (Allocation Failure) [PSYoungGen: 136160K->4576K(153088K)] 154460K->22884K(502784K), 0.0018588 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:19.237+0800: 11.242: [GC (Allocation Failure) [PSYoungGen: 136160K->4576K(153088K)] 154468K->22884K(502784K), 0.0017391 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:19.751+0800: 11.755: [GC (Allocation Failure) [PSYoungGen: 136160K->4480K(153088K)] 154468K->22788K(502784K), 0.0016122 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:20.272+0800: 12.277: [GC (Allocation Failure) [PSYoungGen: 136064K->4576K(153088K)] 154372K->22892K(502784K), 0.0019125 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:20.781+0800: 12.786: [GC (Allocation Failure) [PSYoungGen: 136160K->4544K(153088K)] 154476K->22860K(502784K), 0.0020038 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:21.308+0800: 13.314: [GC (Allocation Failure) [PSYoungGen: 136128K->4576K(153088K)] 154444K->22892K(502784K), 0.0018909 secs] [Times: user=0.20 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:21.834+0800: 13.839: [GC (Allocation Failure) [PSYoungGen: 136160K->4528K(153088K)] 154476K->22844K(502784K), 0.0018923 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:22.353+0800: 14.357: [GC (Allocation Failure) [PSYoungGen: 136112K->4448K(153088K)] 154428K->22763K(502784K), 0.0018056 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:22.859+0800: 14.865: [GC (Allocation Failure) [PSYoungGen: 136032K->4512K(153088K)] 154347K->22828K(502784K), 0.0014762 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:23.351+0800: 15.356: [GC (Allocation Failure) [PSYoungGen: 136096K->416K(153088K)] 154412K->22735K(502784K), 0.0015872 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:23.867+0800: 15.872: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154319K->22847K(502784K), 0.0009918 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:24.378+0800: 16.383: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154431K->22927K(502784K), 0.0012099 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:24.885+0800: 16.890: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154511K->22935K(502784K), 0.0012889 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:25.396+0800: 17.401: [GC (Allocation Failure) [PSYoungGen: 132000K->384K(153088K)] 154519K->22903K(502784K), 0.0011223 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:25.916+0800: 17.921: [GC (Allocation Failure) [PSYoungGen: 131968K->416K(153088K)] 154487K->22951K(502784K), 0.0009862 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:26.422+0800: 18.427: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154535K->22951K(502784K), 0.0010010 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:26.933+0800: 18.939: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154535K->22951K(502784K), 0.0011861 secs] [Times: user=0.16 sys=0.05, real=0.00 secs] 
2021-01-22T21:47:27.431+0800: 19.436: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154535K->23015K(502784K), 0.0010778 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:27.944+0800: 19.949: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154599K->23015K(502784K), 0.0010548 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:28.447+0800: 20.452: [GC (Allocation Failure) [PSYoungGen: 131993K->416K(153088K)] 154592K->23015K(502784K), 0.0010154 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:28.948+0800: 20.953: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154599K->23015K(502784K), 0.0009299 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:29.464+0800: 21.469: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154599K->23015K(502784K), 0.0011608 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:29.963+0800: 21.968: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154599K->23047K(502784K), 0.0009953 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:30.461+0800: 22.466: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154631K->23127K(502784K), 0.0012731 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:30.955+0800: 22.959: [GC (Allocation Failure) [PSYoungGen: 132000K->384K(153088K)] 154711K->23095K(502784K), 0.0010104 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:31.462+0800: 23.467: [GC (Allocation Failure) [PSYoungGen: 131960K->416K(153088K)] 154671K->23127K(502784K), 0.0011331 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:31.972+0800: 23.977: [GC (Allocation Failure) [PSYoungGen: 132000K->384K(153088K)] 154711K->23095K(502784K), 0.0011634 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:32.479+0800: 24.485: [GC (Allocation Failure) [PSYoungGen: 131968K->384K(153088K)] 154679K->23151K(502784K), 0.0010347 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:32.985+0800: 24.990: [GC (Allocation Failure) [PSYoungGen: 131968K->416K(153088K)] 154735K->23191K(502784K), 0.0009718 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:33.514+0800: 25.519: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154775K->23191K(502784K), 0.0010604 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:34.021+0800: 26.026: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154775K->23191K(502784K), 0.0009689 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:34.530+0800: 26.535: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154775K->23191K(502784K), 0.0009411 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:35.023+0800: 27.028: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154775K->23191K(502784K), 0.0009596 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:35.538+0800: 27.543: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154775K->23191K(502784K), 0.0010685 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:36.058+0800: 28.063: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154775K->23191K(502784K), 0.0010332 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:36.563+0800: 28.568: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154775K->23191K(502784K), 0.0011166 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:37.070+0800: 29.075: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154775K->23191K(502784K), 0.0011811 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:37.571+0800: 29.576: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154775K->23191K(502784K), 0.0010862 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:38.073+0800: 30.078: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154775K->23191K(502784K), 0.0009884 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:38.585+0800: 30.590: [GC (Allocation Failure) [PSYoungGen: 132000K->352K(153088K)] 154775K->23127K(502784K), 0.0010783 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:39.093+0800: 31.098: [GC (Allocation Failure) [PSYoungGen: 131936K->416K(153088K)] 154711K->23191K(502784K), 0.0011700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:39.598+0800: 31.603: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154775K->23231K(502784K), 0.0009705 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:40.132+0800: 32.137: [GC (Allocation Failure) [PSYoungGen: 132000K->448K(153088K)] 154815K->23263K(502784K), 0.0011579 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:40.635+0800: 32.639: [GC (Allocation Failure) [PSYoungGen: 132032K->416K(153088K)] 154847K->23287K(502784K), 0.0010766 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:41.123+0800: 33.128: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154871K->23295K(502784K), 0.0010333 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:41.632+0800: 33.637: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154879K->23295K(502784K), 0.0010845 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:42.134+0800: 34.139: [GC (Allocation Failure) [PSYoungGen: 131992K->416K(153088K)] 154871K->23295K(502784K), 0.0010798 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:42.633+0800: 34.638: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154879K->23295K(502784K), 0.0009918 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:43.130+0800: 35.135: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154879K->23295K(502784K), 0.0009884 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:43.637+0800: 35.642: [GC (Allocation Failure) [PSYoungGen: 132000K->384K(153088K)] 154879K->23271K(502784K), 0.0010461 secs] [Times: user=0.09 sys=0.05, real=0.00 secs] 
2021-01-22T21:47:44.134+0800: 36.140: [GC (Allocation Failure) [PSYoungGen: 131968K->384K(153088K)] 154855K->23271K(502784K), 0.0011486 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:44.641+0800: 36.646: [GC (Allocation Failure) [PSYoungGen: 131968K->416K(153088K)] 154855K->23303K(502784K), 0.0011846 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:45.151+0800: 37.156: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154887K->23303K(502784K), 0.0010176 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:45.655+0800: 37.660: [GC (Allocation Failure) [PSYoungGen: 132000K->384K(153088K)] 154887K->23271K(502784K), 0.0012123 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:46.154+0800: 38.159: [GC (Allocation Failure) [PSYoungGen: 131968K->416K(153088K)] 154855K->23311K(502784K), 0.0009485 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:46.664+0800: 38.669: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154895K->23407K(502784K), 0.0011484 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:47.157+0800: 39.163: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154991K->23407K(502784K), 0.0009455 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:47.665+0800: 39.670: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 154991K->23455K(502784K), 0.0012766 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:48.187+0800: 40.192: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155039K->23455K(502784K), 0.0010095 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:48.717+0800: 40.722: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155039K->23455K(502784K), 0.0010273 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:49.238+0800: 41.243: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155039K->23455K(502784K), 0.0011734 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:49.744+0800: 41.750: [GC (Allocation Failure) [PSYoungGen: 132000K->384K(153088K)] 155039K->23423K(502784K), 0.0013017 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:50.259+0800: 42.264: [GC (Allocation Failure) [PSYoungGen: 131968K->416K(153088K)] 155007K->23479K(502784K), 0.0023021 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:50.789+0800: 42.794: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155063K->23479K(502784K), 0.0011251 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:51.303+0800: 43.308: [GC (Allocation Failure) [PSYoungGen: 132000K->384K(153088K)] 155063K->23455K(502784K), 0.0012081 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
