Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for windows-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 06:31:49 by "" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33485708k(21565300k free), swap 35582860k(14120676k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2021-01-22T21:35:49.768+0800: 0.470: [GC (Allocation Failure) 2021-01-22T21:35:49.768+0800: 0.470: [DefNew: 139776K->7439K(157248K), 0.0088891 secs] 139776K->7439K(506816K), 0.0089781 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-01-22T21:35:49.962+0800: 0.664: [Full GC (Metadata GC Threshold) 2021-01-22T21:35:49.962+0800: 0.664: [Tenured: 0K->10840K(349568K), 0.0298206 secs] 136364K->10840K(506816K), [Metaspace: 20499K->20499K(1067008K)], 0.0298678 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2021-01-22T21:35:50.310+0800: 1.012: [GC (Allocation Failure) 2021-01-22T21:35:50.310+0800: 1.013: [DefNew: 139776K->6687K(157248K), 0.0096205 secs] 150616K->17528K(506816K), 0.0096530 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-01-22T21:35:50.887+0800: 1.589: [GC (Allocation Failure) 2021-01-22T21:35:50.887+0800: 1.589: [DefNew: 146463K->13063K(157248K), 0.0134393 secs] 157304K->23904K(506816K), 0.0134782 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-01-22T21:35:51.173+0800: 1.876: [GC (Allocation Failure) 2021-01-22T21:35:51.173+0800: 1.876: [DefNew: 152839K->5085K(157248K), 0.0191439 secs] 163680K->26531K(506816K), 0.0191830 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2021-01-22T21:35:51.207+0800: 1.909: [Full GC (Metadata GC Threshold) 2021-01-22T21:35:51.207+0800: 1.909: [Tenured: 21446K->25018K(349568K), 0.0296198 secs] 28994K->25018K(506816K), [Metaspace: 33877K->33877K(1079296K)], 0.0296616 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2021-01-22T21:36:00.865+0800: 11.567: [GC (Allocation Failure) 2021-01-22T21:36:00.865+0800: 11.567: [DefNew: 139776K->4686K(157248K), 0.0059054 secs] 164794K->29705K(506816K), 0.0059955 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-01-22T21:36:01.806+0800: 12.508: [GC (Allocation Failure) 2021-01-22T21:36:01.806+0800: 12.508: [DefNew: 144462K->4029K(157248K), 0.0036781 secs] 169481K->29048K(506816K), 0.0037321 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:02.375+0800: 13.078: [GC (Allocation Failure) 2021-01-22T21:36:02.375+0800: 13.078: [DefNew: 143805K->4022K(157248K), 0.0033478 secs] 168824K->29041K(506816K), 0.0033872 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:02.916+0800: 13.618: [GC (Allocation Failure) 2021-01-22T21:36:02.916+0800: 13.618: [DefNew: 143798K->4033K(157248K), 0.0037196 secs] 168817K->29052K(506816K), 0.0037594 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:03.486+0800: 14.189: [GC (Allocation Failure) 2021-01-22T21:36:03.486+0800: 14.189: [DefNew: 143809K->4037K(157248K), 0.0036389 secs] 168828K->29056K(506816K), 0.0036973 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
